COD_ID_ENCR;PN_CON;DIST;PAC;CTAT;SUB;CONJ;MUN;CEG_GD;LGRD;BRR;CEP;CLAS_SUB;CNAE;TIP_CC;FAS_CON;GRU_TEN;TEN_FORN;GRU_TAR;SIT_ATIV;DAT_CON;CAR_INST;LIV;ARE_LOC;TIP_SIST;DEM_CONT;DEM_P_01;DEM_P_02;DEM_P_03;DEM_P_04;DEM_P_05;DEM_P_06;DEM_P_07;DEM_P_08;DEM_P_09;DEM_P_10;DEM_P_11;DEM_P_12;DEM_F_01;DEM_F_02;DEM_F_03;DEM_F_04;DEM_F_05;DEM_F_06;DEM_F_07;DEM_F_08;DEM_F_09;DEM_F_10;DEM_F_11;DEM_F_12;ENE_P_01;ENE_P_02;ENE_P_03;ENE_P_04;ENE_P_05;ENE_P_06;ENE_P_07;ENE_P_08;ENE_P_09;ENE_P_10;ENE_P_11;ENE_P_12;ENE_F_01;ENE_F_02;ENE_F_03;ENE_F_04;ENE_F_05;ENE_F_06;ENE_F_07;ENE_F_08;ENE_F_09;ENE_F_10;ENE_F_11;ENE_F_12;DIC_01;DIC_02;DIC_03;DIC_04;DIC_05;DIC_06;DIC_07;DIC_08;DIC_09;DIC_10;DIC_11;DIC_12;FIC_01;FIC_02;FIC_03;FIC_04;FIC_05;FIC_06;FIC_07;FIC_08;FIC_09;FIC_10;FIC_11;FIC_12;DESCR;POINT_X;POINT_Y
8B253DA341DF3692164C7B7CD104E92E99B50CA9B1C750CD5AF38FB61BDB414C;859813384;396;YLT;;YLT;15783;4304606;;R EVARISTO DA VEIGA 70 BL HS;SAO LUIS;92420-080;SP1;4912-4/03;A2-Tipo1;ABCN;AT;94;A2;DS;01/08/2024;885.60972222;0;UB;RD_INTERLIG;3800;2929;2705;2704;3276;0;0;0;0;2;0;0;0;3102;2934;2934;3881;0;0;0;0;0;0;0;0;81767;76845;76884;77402;0;0;0;0;0;0;0;0;788102;578481;605193;605232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-51.17929996;-29.88925192
8B253DA341DF3692164C7B7CD104E92E99B50CA9B1C750CD5AF38FB61BDB414C;859813384;396;YLT;;YLT;15783;4304606;;R EVARISTO DA VEIGA 70 BL HS;SAO LUIS;92420-080;SP1;4912-4/03;A2-Tipo1;ABCN;AT;94;A2;AT;01/08/2024;3800;1;UB;RD_INTERLIG;3800;0;0;0;0;1495;1495;1495;1200;2016;2789;3394;3394;0;0;0;0;1747;2501;2453;1215;2134;2856;3343;2134;0;0;0;0;3528;87357;84790;66907;81640;121699;115849;84129;0;0;0;0;36632;550282;539706;490642;625897;866284;927326;534558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-51.17929996;-29.88925192
AF4378C814B908AC7A3723995691816606D2D76D0A0843E8FEC3084B049E059E;556455169;396;KTJ;;KTJ;16518;4320909;;RDV RS 463 S/N1;RURAL;99950-000;CSPS;3514-0/00;A2-Tipo1;ABCN;AT;94;A2;AT;01/05/2016;11374.313889;0;NU;RD_INTERLIG;17500;1054.9306818;1022.825;17280;1128.2727273;17000;906.57840909;979.52727272;17000;17164.8;1174.6147727;1003.0909091;1036.5272727;17165;17856;17280;18547;16589;16358;16358;16819;17165;17856;18778;33078.918182;928339;900086;894442;992880;839117;797789;861984;927331;881280;1033661;882720;912144;6644160;6969859;7035091;7166477;6954912;6398755;6166368;6674976;6353683;6987139;7042608;7277362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-52.06235422;-28.09287101
F0E13A749A11D030DF6D925A5FC65973557ED0BCF88540A7ABBD35B225727DC0;YTG;396;YTG;;YTG;15786;4318705;;AV S BORJA 3000 BL HS;FAZ S BORJA;93032-524;IN;2840-2/00;A2-Tipo1;ABCN;AT;94;A2;AT;02/02/2017;16951.979167;1;UB;RD_INTERLIG;11000;10684;10832;10844;11224;10036;10476;10656;10772;11224;11668;11356;11304;10944;11188;11264;11368;10060;10656;10572;10996;11196;11444;11488;11532;549393;544349;0;630137;353971;572232;660849;651510;630163;726624;1199917;1239914;4970536;5126940;0;5324252;3247024;5278787;5454371;5575511;5044902;5645494;10611785;10965511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-51.11022977;-29.78690587
DA1438163A0FB9CD114BBF15422492F51543433E7A0611E3DC6F69C66262D614;YJE;396;YJE;;YJE;16375;4312401;;RDV BR 470 3620;IMIGRACAO;92510-001;IN;1012-1/01;A2-Tipo1;ABCN;AT;94;A2;AT;22/11/2020;8140.0638889;1;UB;RD_INTERLIG;10000;9920;10000;9947;9731;8846;8899;9008;9063;9512;9598;9864;9881;10219;10349;10099;9796;9114;9314;9228;9390;9422;9853;10118;10140;587472;534051;543128;569784;462395;460249;541193;519984;504658;580640;526651;544206;5272126;5162036;5317718;5058936;4364819;4262681;4491029;4700988;4378566;4976560;5077725;5246983;0.1478;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;-51.45448615;-29.65727678
BB05230FBECEE1ED40D153778D44E01EB9CCC0FEB40FE471D8176E3E312188B1;YAO;396;YAO;;YAO;16505;4311809;;EST RS 324 4939;STA RITA;99150-000;IN;1012-1/01;A2-Tipo1;ABCN;AT;94;A2;AT;01/09/2017;6892.2333333;1;NU;RD_INTERLIG;11000;8717;8736;8582;8602;7987;7891;7450;7699;8429;8582;8563;8736;10598;10790;10406;10368;9754;9216;9216;9485;10176;10291;10502;9926;511411;452194;466253;481488;432485;417062;470822;437064;439771;522120;446362;461241;4319554;4182005;4206989;4105786;4063570;3725486;3924552;3722299;3788995;4440288;4069690;4205346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-52.21328716;-28.46707907
288EA4879F1C9011D414D46BF45397BC95F20CFE4F3EE542422FFC52C180A566;YFZ;396;YFZ;;YFZ;16515;4320206;;EST BR 386 750;RDV BR 386;98380-000;IN;1012-1/03;A2-Tipo1;ABCN;AT;94;A2;AT;14/04/2024;4958.3208333;1;NU;RD_INTERLIG;8100;0;0;0;4906;5678;6518;6653;7560;7661;7384;7703;0;0;0;0;4872;5813;6787;6754;7661;7997;7619;7820;0;0;0;0;236639;286558;317176;388912;394489;375547;416459;394970;0;0;0;0;2046233;2482914;2580488;3125203;3175502;2909844;3104669;3165164;0;0;0;0;0;0;0.0763;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;;-53.38155247;-27.51048799
7451C6B8E3E4BDE2E2E06323EDEEBFBFD00F825699DA3724AE44AF6E84F88499;YHI;396;YHI;;YHI;16536;4310108;;RDV RS 115 14777;ARROIO KAMPF;95650-000;IN;1113-5/02;A2-Tipo1;ABCN;AT;94;A2;AT;01/05/2018;2919.3138889;1;NU;RD_INTERLIG;7200;3808;3198;3405;3360;2878;2139;2682;2352;3422;3556;3662;3494;3657;3511;3562;3618;2979;2509;2878;2834;3455;3539;3606;3640;194366;156863;165106;165830;110050;85875;132705;123743;165533;187789;177828;183756;1824591;1644811;1826478;1595684;985939;846292;1206799;1231784;1612229;1710460;1856274;1918150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-50.76750867;-29.53988326
F87272ECBBE68D7ACEC1D45E88CD4385B83289D73BD3E85393D2E021E33589AB;YPW;396;YPW;;YPW;13226;4320008;;AV BORGES DE MEDEIROS 151 BL HS;COLONIAL;93212-110;IN;1122-4/01;A2-Tipo1;ABCN;AT;94;A2;AT;02/02/2017;2466.0361111;1;UB;RD_INTERLIG;3500;3356;3256;3332;2972;2584;2936;2728;2876;2704;2864;3012;2753;3344;3416;3316;3172;2988;3068;2956;3044;3016;3292;3296;2994;159560;149021;148414;149182;59161;129570;147806;137567;126226;153249;143285;148061;1579453;1448752;1592749;1414999;636866;1320018;1399231;1397860;1335261;1496511;1574985;1627485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-51.17170586;-29.81370374
4450DBC31A6518A3AF5FCBD45397BFEAF28252B00B1EA770885013A019C0DCBD;KCD;396;KCD;;KCD;15783;4307708;;EST FEDERAL GETULIO VARGAS 8555 BL HS;CENTRO;93270-000;IN;3291-4/00;A2-Tipo1;ABCN;AT;94;A2;AT;01/03/2022;2179.7277778;1;UB;RD_INTERLIG;3000;2681;2793;2764;2603;2165;1649;2101;2206;2336;2505;2570;2499;2991;2875;2976;2874;2293;1631;2239;2294;2565;2714;2815;2786;136037;135258;140813;148605;7079;51945;125695;126765;131433;150182;128292;132568;1299818;1312710;1407267;1420799;105242;484161;1159935;1188700;1242803;1334471;1307690;1351280;0;0;4.9895;6.3128;0;0;0;7;0;0;1;0;0;0;3;2;0;0;0;4;2;0;1;0;;-51.18123893;-29.86368628
B198F577C23872F3DE047E254D04597057481FACE55739F32BFC81C6183330CD;YMF;396;YMF;;YMF;15783;4304606;;AV GUILHERME SCHELL 10260 BL HS;INDUSTRIAL;92420-532;IN;2831-3/00;A2-Tipo1;ABCN;AT;94;A2;AT;01/03/2018;2836.2333333;1;UB;RD_INTERLIG;3150;1982;1974;1949;1840;1613;1604;1655;1613;1789;1781;1756;1663;3200;3268;3234;3024;2411;2663;2780;2596;2688;2898;2982;2873;103904;97801;101976;103171;14570;83639;101006;94943;90023;103083;166163;171702;1040432;970855;1059299;988640;181965;882901;1014212;958677;888390;996263;1810051;1870386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-51.19012089;-29.88140808
CE904E4E754915E2A17A9063117D1FA55BB97646696CFA0516F78B54D69EE051;KCD;396;KCD;;KCD;15783;4307708;;AV INDEPENDENCIA 8885 BL HS;DO PARQUE;93270-010;IN;2229-3/01;A2-Tipo1;ABCN;AT;94;A2;AT;01/03/2022;1553.3138889;1;UB;RD_INTERLIG;2200;1765;1863;1793;1861;1534;883;1135;1193;1330;1449;1534;1611;1966;2010;1997;2037;1725;947;1176;1303;1418;1611;1643;1774;95420;96043;98106;108166;5214;27537;68755;69785;76609;88984;76469;79018;901839;949317;993511;1010220;80256;267995;621568;657467;731291;811491;764357;789836;0;0;4.9895;6.3128;0;0;0;7;0;0;1;0;0;0;3;2;0;0;0;4;2;0;1;0;;-51.18107703;-29.86428611
